week_start,geo,device,channel,campaign,impressions,clicks,sessions,add_to_cart,begin_checkout,purchases,revenue,spend,platform_roas_reported,last_click_roas,position_based_roas,time_decay_roas,shipping_issue_rate,bot_rate,ghost_impressions,holdout_flag
2023-10-02,NL-NH,Mobile,Paid Search,NonBrand-Home,34366,1096,1136,316,227,7,505.03,655.94,1.04,0.77,0.66,0.6,0.073,0.032,10134,0
2023-10-02,NL-NH,Mobile,Paid Social,Retargeting-Catalog,70362,818,814,146,101,1,71.71,264.06,0.42,0.27,0.26,0.24,0.042,0.057,34106,0
2023-10-02,NL-NH,Mobile,Organic,SEO-Core,1499,81,665,119,73,1,73.64,0.0,0.0,0.0,0.0,0.0,0.052,0.03,0,0
2023-10-02,NL-NH,Mobile,Direct,Direct,2376,30,482,83,58,1,77.03,0.0,0.0,0.0,0.0,0.0,0.03,0.037,0,0
2023-10-02,NL-NH,Mobile,Email/SMS,Lifecycle-Welcome,3187,168,255,53,36,1,74.01,87.45,0.85,0.85,0.72,0.8,0.139,0.008,0,0
2023-10-02,NL-NH,Mobile,Affiliate,Aff-NetB,20945,370,373,97,69,1,78.47,0.0,0.0,0.0,0.0,0.0,0.055,0.036,0,0
2023-10-02,NL-NH,Mobile,Referral,ReferAFriend,713,25,154,31,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.024,0,0
2023-10-02,NL-NH,Desktop,Paid Search,Brand-Core,19345,638,694,177,129,3,220.83,407.73,0.73,0.54,0.51,0.49,0.099,0.034,6467,0
2023-10-02,NL-NH,Desktop,Paid Social,Retargeting-Catalog,54836,702,658,154,112,1,78.93,248.48,0.49,0.32,0.33,0.28,0.08,0.059,14718,0
2023-10-02,NL-NH,Desktop,Organic,SEO-Core,1858,35,462,95,69,2,158.44,0.0,0.0,0.0,0.0,0.0,0.229,0.024,0,0
2023-10-02,NL-NH,Desktop,Direct,Direct,928,91,418,131,78,2,158.66,0.0,0.0,0.0,0.0,0.0,0.051,0.003,0,0
2023-10-02,NL-NH,Desktop,Email/SMS,Lifecycle-Welcome,1575,84,126,29,17,0,0.0,86.88,0.0,0.0,0.0,0.0,0.152,0.031,0,0
2023-10-02,NL-NH,Desktop,Affiliate,Aff-NetA,10709,185,222,62,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.029,0,0
2023-10-02,NL-NH,Desktop,Referral,ReferAFriend,723,20,129,38,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.023,0,0
2023-10-02,NL-ZH,Mobile,Paid Search,NonBrand-Home,24358,736,714,162,95,2,150.45,440.04,0.46,0.34,0.32,0.26,0.204,0.024,6873,0
2023-10-02,NL-ZH,Mobile,Paid Social,Prospecting-Video,56212,687,739,147,90,1,72.12,237.6,0.47,0.3,0.29,0.23,0.109,0.049,23748,0
2023-10-02,NL-ZH,Mobile,Organic,SEO-Core,2784,78,700,186,108,2,147.48,0.0,0.0,0.0,0.0,0.0,0.093,0.022,0,0
2023-10-02,NL-ZH,Mobile,Direct,Direct,2030,62,499,103,74,2,142.48,0.0,0.0,0.0,0.0,0.0,0.168,0.037,0,0
2023-10-02,NL-ZH,Mobile,Email/SMS,Lifecycle-Welcome,2537,130,203,35,19,0,0.0,82.35,0.0,0.0,0.0,0.0,0.07,0.039,0,0
2023-10-02,NL-ZH,Mobile,Affiliate,Aff-NetA,9823,182,214,46,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.027,0,0
2023-10-02,NL-ZH,Mobile,Referral,ReferAFriend,498,29,129,33,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.017,0,0
2023-10-02,NL-ZH,Desktop,Paid Search,Brand-Core,15686,514,600,185,117,3,233.17,298.67,1.05,0.78,0.78,0.63,0.012,0.03,3499,0
2023-10-02,NL-ZH,Desktop,Paid Social,Prospecting-Video,44456,492,580,180,110,1,77.42,158.83,0.76,0.49,0.47,0.38,0.093,0.045,19453,0
2023-10-02,NL-ZH,Desktop,Organic,SEO-Core,2206,34,483,104,63,1,71.69,0.0,0.0,0.0,0.0,0.0,0.174,0.008,0,0
2023-10-02,NL-ZH,Desktop,Direct,Direct,1630,21,293,75,55,1,75.47,0.0,0.0,0.0,0.0,0.0,0.239,0.034,0,0
2023-10-02,NL-ZH,Desktop,Email/SMS,Lifecycle-Reactivation,2162,125,173,42,25,0,0.0,58.13,0.0,0.0,0.0,0.0,0.161,0.047,0,0
2023-10-02,NL-ZH,Desktop,Affiliate,Aff-NetA,11596,214,206,44,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.032,0,0
2023-10-02,NL-ZH,Desktop,Referral,ReferAFriend,319,12,116,22,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.031,0,0
2023-10-02,BE-BRU,Mobile,Paid Search,NonBrand-Decor,19345,557,772,143,88,2,139.04,325.95,0.58,0.43,0.42,0.42,0.211,0.022,7669,0
2023-10-02,BE-BRU,Mobile,Paid Social,Retargeting-Catalog,62972,786,923,187,103,1,68.31,296.52,0.36,0.23,0.2,0.19,0.103,0.071,23001,0
2023-10-02,BE-BRU,Mobile,Organic,SEO-Core,2289,100,451,90,66,1,66.54,0.0,0.0,0.0,0.0,0.0,0.096,0.036,0,0
2023-10-02,BE-BRU,Mobile,Direct,Direct,809,65,364,95,53,1,66.63,0.0,0.0,0.0,0.0,0.0,0.038,0.03,0,0
2023-10-02,BE-BRU,Mobile,Email/SMS,Lifecycle-Welcome,2175,98,174,46,27,1,69.15,55.76,1.24,1.24,1.16,1.24,0.109,0.03,0,0
2023-10-02,BE-BRU,Mobile,Affiliate,Aff-NetB,11244,194,211,38,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.017,0,0
2023-10-02,BE-BRU,Mobile,Referral,ReferAFriend,299,22,99,26,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.033,0,0
2023-10-02,BE-BRU,Desktop,Paid Search,NonBrand-Home,24170,770,897,213,159,5,332.89,463.93,0.97,0.72,0.66,0.65,0.065,0.006,6561,0
2023-10-02,BE-BRU,Desktop,Paid Social,Prospecting-Video,43881,512,503,125,93,1,72.54,182.89,0.61,0.4,0.37,0.37,0.072,0.063,14200,0
2023-10-02,BE-BRU,Desktop,Organic,SEO-Core,1472,32,373,72,47,1,71.72,0.0,0.0,0.0,0.0,0.0,0.051,0.027,0,0
2023-10-02,BE-BRU,Desktop,Direct,Direct,789,69,289,79,58,2,143.12,0.0,0.0,0.0,0.0,0.0,0.06,0.036,0,0
2023-10-02,BE-BRU,Desktop,Email/SMS,Lifecycle-Welcome,1800,73,144,34,24,0,0.0,48.56,0.0,0.0,0.0,0.0,0.027,0.034,0,0
2023-10-02,BE-BRU,Desktop,Affiliate,Aff-NetB,5270,102,110,28,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.033,0,0
2023-10-02,BE-BRU,Desktop,Referral,ReferAFriend,488,18,91,27,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.048,0,0
2023-10-02,LU-LUX,Mobile,Paid Search,Brand-Core,17590,610,695,136,77,2,160.63,331.85,0.65,0.48,0.49,0.41,0.076,0.035,7366,0
2023-10-02,LU-LUX,Mobile,Paid Social,Prospecting-Video,30331,388,440,83,54,1,84.37,124.35,1.05,0.68,0.6,0.57,0.045,0.06,15104,0
2023-10-02,LU-LUX,Mobile,Organic,SEO-Core,1452,99,540,135,78,2,166.89,0.0,0.0,0.0,0.0,0.0,0.05,0.032,0,0
2023-10-02,LU-LUX,Mobile,Direct,Direct,2534,42,474,106,71,2,160.46,0.0,0.0,0.0,0.0,0.0,0.066,0.04,0,0
2023-10-02,LU-LUX,Mobile,Email/SMS,Lifecycle-Reactivation,1987,97,159,45,33,1,88.35,51.52,1.71,1.71,1.71,1.64,0.115,0.039,0,0
2023-10-02,LU-LUX,Mobile,Affiliate,Aff-NetB,11445,188,191,34,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.02,0,0
2023-10-02,LU-LUX,Mobile,Referral,ReferAFriend,526,14,95,23,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.025,0,0
2023-10-02,LU-LUX,Desktop,Paid Search,Brand-Core,13634,393,478,117,69,2,175.78,256.94,0.92,0.68,0.64,0.64,0.051,0.023,2876,0
